metric,repeated_mean,repeated_std
seed,2.0,1.5811388300841898
train_accuracy,0.9857142857142858,0.005646924393157853
train_precision,0.9803497920452886,0.010455430133188011
train_recall,0.9977653631284916,0.00305990255589481
train_f1,0.9889468852471854,0.004309947582029393
train_roc_auc,0.9996625919575198,0.00025973465085180113
test_accuracy,0.9295774647887324,0.02634969990685871
test_precision,0.9182687074829932,0.015222448918790828
test_recall,0.9782608695652174,0.026624888508512787
test_f1,0.9472769690182904,0.020112270366770893
test_roc_auc,0.9631304347826086,0.022072230626724657
