metric,cv_mean,cv_std
seed,42.0,0.0
train_accuracy,0.9985739705134723,0.0019526764639665342
train_precision,0.9977900552486189,0.0030260914779290868
train_recall,1.0,0.0
train_f1,0.9988919667590028,0.0015172370013993375
train_roc_auc,1.0,0.0
test_accuracy,0.9458350100603623,0.015761348230817915
test_precision,0.9365942028985508,0.01413449867239788
test_recall,0.9822222222222223,0.018592445034090556
test_f1,0.9587616684390878,0.011983920494867642
test_roc_auc,0.9611623931623932,0.028260251754114486
