metric,repeated_mean,repeated_std
seed,2.0,1.5811388300841898
train_accuracy,0.9442857142857143,0.0031943828249996883
train_precision,0.9390238432142679,0.010732086217159877
train_recall,0.976536312849162,0.017399342460779253
train_f1,0.9572494689327046,0.003069326479409409
train_roc_auc,0.9725593229714032,0.01002126403688892
test_accuracy,0.8591549295774648,0.028169014084507032
test_precision,0.8724845159012868,0.021439935005153826
test_recall,0.917391304347826,0.047129311714519145
test_f1,0.8937119510258377,0.023328219201480663
test_roc_auc,0.8857391304347827,0.053629513923819046
