metric,cv_mean,cv_std
seed,42.0,0.0
train_accuracy,0.9658057956278597,0.01524519436232573
train_precision,0.963187123238274,0.016549366941929315
train_recall,0.9844444444444445,0.007243558228002973
train_f1,0.9736739751920573,0.011636297988994529
train_roc_auc,0.9661291529152916,0.018550445419095972
test_accuracy,0.9030985915492957,0.03707474828224373
test_precision,0.9216794311898975,0.03756662768815882
test_recall,0.9288888888888888,0.03651483716701108
test_f1,0.9247944902222602,0.02888558060143006
test_roc_auc,0.9012752136752138,0.038071230593126476
