rank_test_macro_f1,param_classifier__gamma,param_classifier__class_weight,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_b,std_test_f1_b,mean_test_recall_b,std_test_recall_b,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_train_macro_f1,std_train_macro_f1
1,0.03,balanced,0.9563395312279208,0.02044421069188109,0.9436474589835935,0.025888601130606727,0.9283076923076923,0.016615384615384608,0.9600402414486922,0.01900683327607764,0.9822358974358973,0.015130831391142624,0.979095350309002,0.001923198923129316
2,scale,balanced,0.9532253035970693,0.01673641830997089,0.9395690276110444,0.020905325185982773,0.9206153846153846,0.0012307692307692354,0.9572233400402416,0.015723338720659685,0.9824136752136752,0.015093025492299869,0.979095350309002,0.001923198923129316
3,scale,,0.9465122660349069,0.016028594036824266,0.9301020408163266,0.02079007726521924,0.8969230769230769,0.018917447567925436,0.951549295774648,0.014617896642213203,0.9790427350427351,0.01685594211895787,0.9797480463578461,0.005740446681468096
3,0.03,,0.9465122660349069,0.016028594036824266,0.9301020408163266,0.02079007726521924,0.8969230769230769,0.018917447567925436,0.951549295774648,0.014617896642213203,0.9790427350427351,0.01685594211895787,0.9797480463578461,0.005740446681468096
5,0.1,balanced,0.944641644454342,0.01754672703996466,0.9297585700947046,0.02046303087569157,0.9366153846153846,0.01912648648359387,0.9486921529175051,0.017204807720803066,0.9836649572649574,0.015894787390812643,0.9938074807480749,0.0030963189891199112
6,0.1,,0.9445231188824177,0.011914041468269417,0.9293577657478085,0.01426317969541824,0.9366153846153846,0.01912648648359387,0.9486921529175051,0.01152128910267228,0.9856205128205129,0.013596553258128776,0.9930329600000146,0.001547336922693528
7,0.01,balanced,0.9367505390304215,0.026735953801063014,0.9169819076566796,0.03530087587621549,0.8806153846153846,0.036479385440686636,0.9429376257545272,0.024001114643352126,0.9756649572649572,0.018384497689030322,0.9680982919485853,0.003978222375880682
8,0.3,,0.930998745015232,0.019678327552438046,0.9157054369800441,0.022373547162881424,0.984,0.019595917942265444,0.9344466800804829,0.019451818877795957,0.9868786324786324,0.014866510899396135,1.0,0.0
9,0.01,,0.9293579043337393,0.028980848183351192,0.9057574661070102,0.0397705430622994,0.8489230769230769,0.05365151635415902,0.9372635814889335,0.025005907993498368,0.9760205128205127,0.019062673966517497,0.9622701929655788,0.00824238407227915
10,0.3,balanced,0.9280840531812515,0.01924717281034514,0.9123384336130409,0.021842564363117215,0.984,0.019595917942265444,0.93158953722334,0.019051680544872395,0.9874119658119659,0.015076394354742721,1.0,0.0
11,1.0,,0.5654509457414966,0.17998392703244728,0.3110590095309959,0.30915334094082186,0.2793846153846154,0.3686836972786473,0.7181086519114688,0.09647924040524064,0.9833777777777778,0.015276480753024622,1.0,0.0
11,1.0,balanced,0.5654509457414966,0.17998392703244728,0.3110590095309959,0.30915334094082186,0.2793846153846154,0.3686836972786473,0.7181086519114688,0.09647924040524064,0.9833777777777778,0.015276480753024622,1.0,0.0
