rank_test_macro_f1,param_classifier__kernel,param_classifier__C,param_classifier__gamma,param_classifier__degree,param_classifier__coef0,param_classifier__class_weight,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_b,std_test_f1_b,mean_test_recall_b,std_test_recall_b,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_train_macro_f1,std_train_macro_f1
1,rbf,3.0,0.03,,,balanced,0.9563395312279208,0.02044421069188109,0.9436474589835935,0.025888601130606727,0.9283076923076923,0.016615384615384608,0.9600402414486922,0.01900683327607764,0.9822358974358973,0.015130831391142624,0.979095350309002,0.001923198923129316
2,rbf,3.0,scale,,,balanced,0.9532253035970693,0.01673641830997089,0.9395690276110444,0.020905325185982773,0.9206153846153846,0.0012307692307692354,0.9572233400402416,0.015723338720659685,0.9824136752136752,0.015093025492299869,0.979095350309002,0.001923198923129316
3,rbf,30.0,0.1,,,,0.9478659885196918,0.036213855805757776,0.9342666981322443,0.044054903659871573,0.9443076923076923,0.03215936647496347,0.9514688128772637,0.03456302396803924,0.9767111111111111,0.02121001394054291,1.0,0.0
3,rbf,30.0,0.1,,,balanced,0.9478659885196918,0.036213855805757776,0.9342666981322443,0.044054903659871573,0.9443076923076923,0.03215936647496347,0.9514688128772637,0.03456302396803924,0.9767111111111111,0.02121001394054291,1.0,0.0
5,rbf,3.0,scale,,,,0.9465122660349069,0.016028594036824266,0.9301020408163266,0.02079007726521924,0.8969230769230769,0.018917447567925436,0.951549295774648,0.014617896642213203,0.9790427350427351,0.01685594211895787,0.9797480463578461,0.005740446681468096
5,rbf,3.0,0.03,,,,0.9465122660349069,0.016028594036824266,0.9301020408163266,0.02079007726521924,0.8969230769230769,0.018917447567925436,0.951549295774648,0.014617896642213203,0.9790427350427351,0.01685594211895787,0.9797480463578461,0.005740446681468096
7,rbf,10.0,0.01,,,balanced,0.9458892915402147,0.026241207120941107,0.9285252398831874,0.035089863845275134,0.8883076923076922,0.047124159308496394,0.9514688128772637,0.023271042119455188,0.9818666666666666,0.021009392373441786,0.9766731419042074,0.004955274252593779
8,rbf,3.0,0.1,,,balanced,0.944641644454342,0.01754672703996466,0.9297585700947046,0.02046303087569157,0.9366153846153846,0.01912648648359387,0.9486921529175051,0.017204807720803066,0.9836649572649574,0.015894787390812643,0.9938074807480749,0.0030963189891199112
9,rbf,3.0,0.1,,,,0.9445231188824177,0.011914041468269417,0.9293577657478085,0.01426317969541824,0.9366153846153846,0.01912648648359387,0.9486921529175051,0.01152128910267228,0.9856205128205129,0.013596553258128776,0.9930329600000146,0.001547336922693528
10,rbf,10.0,0.1,,,balanced,0.9443728563948562,0.018084116877184125,0.9289038692400038,0.022170259126576216,0.9286153846153846,0.015737491510823872,0.9486921529175051,0.017204807720803066,0.9797470085470085,0.019595937029034276,0.9992288376305283,0.001542324738943712
