seed,best_threshold,iter45_train_accuracy,iter45_train_macro_f1,iter45_train_b_recall,iter45_train_b_f1,iter45_train_g_recall,iter45_train_g_f1,iter45_train_roc_auc,iter45_test_accuracy,iter45_test_macro_f1,iter45_test_b_recall,iter45_test_b_f1,iter45_test_g_recall,iter45_test_g_f1,iter45_test_roc_auc,iter6_train_accuracy,iter6_train_macro_f1,iter6_train_b_recall,iter6_train_b_f1,iter6_train_g_recall,iter6_train_g_f1,iter6_train_roc_auc,iter6_test_accuracy,iter6_test_macro_f1,iter6_test_b_recall,iter6_test_b_f1,iter6_test_g_recall,iter6_test_g_f1,iter6_test_roc_auc
0,0.4096567533513408,0.9785714285714285,0.9766666666666666,0.9603960396039604,0.97,0.9888268156424581,0.9833333333333333,0.9942474694396813,0.9154929577464789,0.9035326086956521,0.8,0.8695652173913043,0.9782608695652174,0.9375,0.9860869565217392,0.9785714285714285,0.976867151354924,0.9801980198019802,0.9705882352941176,0.9776536312849162,0.9831460674157303,0.9942474694396813,0.9577464788732394,0.9541047188106011,0.96,0.9411764705882353,0.9565217391304348,0.967032967032967,0.9860869565217392
1,0.15588537320055584,0.9785714285714285,0.9767686265833286,0.9702970297029703,0.9702970297029703,0.9832402234636871,0.9832402234636871,0.9991703080922617,0.9577464788732394,0.9532587228439764,0.92,0.9387755102040817,0.9782608695652174,0.967741935483871,0.9756521739130435,0.9857142857142858,0.9845781009032826,0.9900990099009901,0.9803921568627451,0.9832402234636871,0.9887640449438202,0.9991703080922617,0.9577464788732394,0.9532587228439764,0.92,0.9387755102040817,0.9782608695652174,0.967741935483871,0.9756521739130435
2,0.1408133139369696,0.9785714285714285,0.976867151354924,0.9801980198019802,0.9705882352941176,0.9776536312849162,0.9831460674157303,0.9952430997289673,0.971830985915493,0.9691304347826086,0.96,0.96,0.9782608695652174,0.9782608695652174,0.9991304347826087,0.9785714285714285,0.976867151354924,0.9801980198019802,0.9705882352941176,0.9776536312849162,0.9831460674157303,0.9952430997289673,0.971830985915493,0.9696581196581197,1.0,0.9615384615384616,0.9565217391304348,0.9777777777777777,0.9991304347826087
3,0.04736657876743877,0.9785714285714285,0.9767686265833286,0.9702970297029703,0.9702970297029703,0.9832402234636871,0.9832402234636871,0.9960727916367055,0.9577464788732394,0.9522956326987682,0.88,0.9361702127659575,1.0,0.968421052631579,0.9895652173913043,0.9821428571428571,0.9806819279435912,0.9801980198019802,0.9753694581280788,0.9832402234636871,0.9859943977591037,0.9960727916367055,0.9859154929577465,0.9844195742813254,0.96,0.9795918367346939,1.0,0.989247311827957,0.9895652173913043
4,0.0,0.9821428571428571,0.9805984007538907,0.9702970297029703,0.9751243781094527,0.9888268156424581,0.9860724233983287,0.9953537253166658,0.9577464788732394,0.9532587228439764,0.92,0.9387755102040817,0.9782608695652174,0.967741935483871,0.9860869565217392,0.9821428571428571,0.9805984007538907,0.9702970297029703,0.9751243781094527,0.9888268156424581,0.9860724233983287,0.9953537253166658,0.9577464788732394,0.9532587228439764,0.92,0.9387755102040817,0.9782608695652174,0.967741935483871,0.9860869565217392
5,0.27837514023989096,0.9785714285714285,0.9766666666666666,0.9603960396039604,0.97,0.9888268156424581,0.9833333333333333,0.9943027822335305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9785714285714285,0.976867151354924,0.9801980198019802,0.9705882352941176,0.9776536312849162,0.9831460674157303,0.9943027822335305,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.4281515446443739,0.9821428571428571,0.9805984007538907,0.9702970297029703,0.9751243781094527,0.9888268156424581,0.9860724233983287,0.9949665357597213,0.9577464788732394,0.9541047188106011,0.96,0.9411764705882353,0.9565217391304348,0.967032967032967,0.9904347826086957,0.9821428571428571,0.9807626245276537,0.9900990099009901,0.975609756097561,0.9776536312849162,0.9859154929577465,0.9949665357597213,0.9436619718309859,0.9393162393162393,0.96,0.9230769230769231,0.9347826086956522,0.9555555555555556,0.9904347826086957
7,0.2574864807355338,0.9857142857142858,0.9845124177222191,0.9801980198019802,0.9801980198019802,0.9888268156424581,0.9888268156424581,0.9953537253166657,0.9295774647887324,0.9220978714066272,0.88,0.8979591836734694,0.9565217391304348,0.946236559139785,0.9652173913043479,0.9821428571428571,0.9807626245276537,0.9900990099009901,0.975609756097561,0.9776536312849162,0.9859154929577465,0.9953537253166657,0.9436619718309859,0.9382608695652175,0.92,0.92,0.9565217391304348,0.9565217391304348,0.9652173913043479
8,0.12306955941841291,0.975,0.9729546991210277,0.9702970297029703,0.9655172413793104,0.9776536312849162,0.9803921568627451,0.9944687206150783,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9785714285714285,0.976867151354924,0.9801980198019802,0.9705882352941176,0.9776536312849162,0.9831460674157303,0.9944687206150783,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0.2906396952095487,0.9785714285714285,0.9767686265833286,0.9702970297029703,0.9702970297029703,0.9832402234636871,0.9832402234636871,0.9950218485535705,0.9859154929577465,0.9844195742813254,0.96,0.9795918367346939,1.0,0.989247311827957,1.0,0.9785714285714285,0.976867151354924,0.9801980198019802,0.9705882352941176,0.9776536312849162,0.9831460674157303,0.9950218485535705,0.971830985915493,0.9696581196581197,1.0,0.9615384615384616,0.9565217391304348,0.9777777777777777,1.0
