model,metric,train_mean,train_std,test_mean,test_std,train_test_gap
iter_4/5,accuracy,0.981904761904762,0.004957004914724953,0.9539906103286385,0.02613683098475632,0.027914151576123425
iter_4/5,macro_f1,0.9803646221421963,0.005385253786138261,0.948816701748709,0.02948255384770467,0.031547920393487305
iter_4/5,b_recall,0.9729372937293729,0.00898205088435383,0.9173333333333333,0.06720700565562641,0.05560396039603954
iter_4/5,b_f1,0.9748659744495493,0.006904596851760362,0.932616068107641,0.039459042212925476,0.04224990634190828
iter_4/5,g_recall,0.9869646182495345,0.004939031534843491,0.9739130434782609,0.020898281093496632,0.01305157477127361
iter_4/5,g_f1,0.9858632698348432,0.0038672773773596155,0.9650173353897766,0.019618740913310256,0.02084593444506655
iter_4/5,roc_auc,0.9960654165975257,0.0017136031305526544,0.9863188405797101,0.011259126093424483,0.009746576017815589
iter_6,accuracy,0.9810714285714286,0.0038840966641616836,0.9530516431924881,0.02571467406127541,0.028019785378940454
iter_6,macro_f1,0.9795372376903663,0.0041831653183873295,0.9485922923420165,0.028155307156078245,0.030944945348349795
iter_6,b_recall,0.9798679867986799,0.007573173230267903,0.94,0.06011483264094041,0.03986798679867998
iter_6,b_f1,0.9739353508702149,0.005303850154951393,0.9335937199294535,0.03647131577947997,0.040341630940761375
iter_6,g_recall,0.9817504655493484,0.006212887338184745,0.9601449275362318,0.03332953066982681,0.0216055380131166
iter_6,g_f1,0.9851391245105179,0.0030658498750966677,0.9635908647545794,0.020105970444884682,0.021548259755938437
iter_6,roc_auc,0.9960654165975257,0.0017136031305526544,0.9863188405797101,0.011259126093424483,0.009746576017815589
