metric,cv_mean,cv_std
seed,42.0,0.0
train_accuracy,0.9850406710726995,0.00528707141123608
train_precision,0.983498269686115,0.003885415554694143
train_recall,0.9933333333333334,0.004648111258522625
train_f1,0.9883901378919822,0.004102538756663161
train_roc_auc,0.9957701870187018,0.0028207054626099392
test_accuracy,0.9572635814889336,0.017498437667925408
test_precision,0.952801675403433,0.01717803915619022
test_recall,0.9822222222222223,0.018592445034090556
test_f1,0.9671726372427635,0.01346899619249761
test_roc_auc,0.9838632478632479,0.01323275675789227
