rank_test_macro_f1,param_classifier__C,param_classifier__gamma,param_classifier__class_weight,param_pca__n_components,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_b,std_test_f1_b,mean_test_recall_b,std_test_recall_b,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_train_macro_f1,std_train_macro_f1
1,3.0,0.03,balanced,,0.9529672710023341,0.017208808369950868,0.9387619047619047,0.022393268327328835,0.912923076923077,0.028988469448157233,0.9572635814889336,0.015651078450209643,0.9838632478632479,0.011835737456146737,0.9836825061319207,0.00515899171528893
2,3.0,0.03,balanced,0.99,0.9499635889271147,0.018173103048973682,0.9350068027210885,0.02361693147045465,0.9132307692307693,0.036943584048747403,0.9544466800804828,0.016552203544856696,0.9817504273504273,0.011814711915006567,0.9829134438305708,0.005818736105751247
3,10.0,0.03,balanced,,0.943396642959593,0.023659710511648467,0.9259887103777681,0.031324886845936116,0.8975384615384616,0.0515565984160775,0.9487726358148894,0.021195671841763162,0.9804923076923077,0.012495987930900102,0.9906941375789315,0.0031111681680357373
4,10.0,0.03,balanced,0.9,0.9402426445850525,0.031985750471475255,0.9219183673469388,0.04156523040855412,0.8892307692307693,0.04543022480071816,0.9458752515090543,0.0291232454792309,0.9676512820512821,0.015881045129930077,0.9875702425522099,0.0029290704882105585
5,10.0,0.03,balanced,0.99,0.9400734909563166,0.02737590276799615,0.9213968736430742,0.036373100157352574,0.8895384615384616,0.05652166155424017,0.9459154929577466,0.024440643117783035,0.977476923076923,0.013160260011406626,0.9906941375789315,0.0031111681680357373
6,1.0,0.03,balanced,0.95,0.9372381339722257,0.017614919056856148,0.918263958938731,0.02361088107021766,0.897230769230769,0.05303030282537974,0.9430181086519115,0.015652526924813608,0.9798290598290598,0.01097703191880716,0.9658382995847721,0.00676418106517457
7,3.0,0.03,balanced,0.95,0.9372252168781838,0.0260671444647217,0.9181768707482993,0.03359341545789726,0.8892307692307693,0.03773467007201449,0.9430181086519115,0.023906739873452307,0.9792888888888889,0.014064683026715354,0.9813765866519916,0.005708656897346067
8,3.0,0.1,balanced,,0.9356248425039851,0.0220324655666886,0.9187971188475391,0.026754086323831663,0.9366153846153846,0.040568737781783396,0.9401207243460765,0.021095348881648355,0.9774632478632478,0.019876940717799794,0.9922499529363801,0.0024731111201623714
8,3.0,0.1,balanced,0.99,0.9356248425039851,0.0220324655666886,0.9187971188475391,0.026754086323831663,0.9366153846153846,0.040568737781783396,0.9401207243460765,0.021095348881648355,0.976936752136752,0.019115405232905853,0.9922499529363801,0.0024731111201623714
10,1.0,0.03,balanced,,0.9341684223705528,0.026862692292734382,0.9143672617983365,0.03471349676186094,0.8892307692307693,0.04543022480071816,0.9401609657947686,0.02459888365643732,0.9805196581196581,0.012428249065194298,0.9736562215123479,0.003858124963994676
