metric,cv_mean,cv_std
seed,42.0,0.0
train_accuracy,0.9515683782409761,0.006924888849227094
train_precision,0.9325597767398184,0.011058517627741541
train_recall,0.9966666666666667,0.003042903097250912
train_f1,0.9635082639841397,0.004933467749761994
train_roc_auc,0.9910462596259627,0.0026369927278468465
test_accuracy,0.9259154929577464,0.036999818312334495
test_precision,0.9098942888903941,0.02972811602778247
test_recall,0.9822222222222223,0.03975231959999627
test_f1,0.9443350000454777,0.028496329871774473
test_roc_auc,0.9588717948717947,0.02129852793002993
