rank_test_macro_f1,param_n_estimators,param_learning_rate,param_estimator__max_depth,param_estimator__min_samples_leaf,param_estimator__criterion,param_estimator__class_weight,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_g,std_test_f1_g,mean_test_f1_b,std_test_f1_b,mean_test_recall_b,std_test_recall_b,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_train_macro_f1,std_train_macro_f1
1,50,0.5,2,2,entropy,,0.9398901443265654,0.015682478044733,0.9587616684390878,0.010718744345390786,0.9210186202140431,0.02072711115097441,0.8806153846153846,0.026282038774230947,0.9458350100603623,0.014097378424461961,0.9611623931623932,0.025276737593383065,0.9984459583788763,0.0019033209249629806
2,50,0.5,2,5,entropy,,0.9397465347655258,0.023929441198753607,0.9588521859805915,0.01566834764367833,0.92064088355046,0.03227003053737376,0.8806153846153846,0.04439308011537584,0.9458350100603623,0.021062621812731656,0.9609846153846153,0.025124408341567827,0.9992204791269366,0.001559041746126777
3,25,0.1,3,5,entropy,,0.9391449690674663,0.018769490522743702,0.9594109187504285,0.012224317702996014,0.9188790193845037,0.025403658206069248,0.8572307692307692,0.04038161160990257,0.9459154929577466,0.016456440191181556,0.9645435897435897,0.01842463675053844,0.9563069098351955,0.005124525817846169
4,50,1.5,2,5,gini,balanced,0.9381878418621795,0.04740914981025514,0.9597504056071745,0.028400421243326483,0.9166252781171845,0.06646190120549857,0.8646153846153848,0.09702802620801106,0.94579476861167,0.03984769127329398,0.9755282051282052,0.015772069232412558,1.0,0.0
5,50,1.0,3,2,entropy,,0.9366614879115038,0.022407298444222856,0.9568444695268724,0.014849407276653294,0.9164785062961356,0.029973762912810765,0.8735384615384616,0.04431623849203406,0.9430985915492958,0.019864525845508314,0.9720136752136753,0.014001736010000328,1.0,0.0
6,50,1.0,3,2,entropy,balanced,0.9365692310326098,0.014633498116942045,0.9567025089605735,0.009634579278228776,0.9164359531046461,0.019710943892151427,0.8729230769230769,0.030235368606863402,0.9429778672032194,0.012914057093885982,0.9705504273504273,0.015465898852676067,1.0,0.0
7,100,0.5,3,2,entropy,,0.9365228183780451,0.02071377346701312,0.9567992599444958,0.013314573432245751,0.9162463768115943,0.028159849176621572,0.8729230769230769,0.03942305816134637,0.9430181086519115,0.018073025540656994,0.9739350427350427,0.015519915591565486,1.0,0.0
7,200,0.5,3,2,entropy,,0.9365228183780451,0.02071377346701312,0.9567992599444958,0.013314573432245751,0.9162463768115943,0.028159849176621572,0.8729230769230769,0.03942305816134637,0.9430181086519115,0.018073025540656994,0.9707555555555555,0.01730116673436705,1.0,0.0
9,100,0.5,3,1,entropy,,0.9364233827622496,0.018329950017138177,0.956797718708733,0.011403354944528063,0.9160490468157662,0.02528935764767188,0.8726153846153846,0.03995737373722567,0.9429778672032192,0.015760885878825848,0.9680615384615384,0.02006916697869255,1.0,0.0
10,100,0.5,3,5,entropy,balanced,0.9363901981246862,0.027180236194809033,0.9568922478355202,0.017747306990653276,0.915888148413852,0.03665375932233686,0.8729230769230769,0.05323699385570994,0.9430181086519115,0.023906739873452307,0.9620649572649572,0.020332398565867812,1.0,0.0
