metric,cv_mean,cv_std
seed,42.0,0.0
train_accuracy,0.9373106253177428,0.010359535029036793
train_precision,0.9275634420963008,0.014209267615011454
train_recall,0.9788888888888888,0.007243558228002956
train_f1,0.9524698068037862,0.007465235158528399
train_roc_auc,0.9699388338833883,0.006780539837456913
test_accuracy,0.8746076458752515,0.031127157252573614
test_precision,0.8792718588402479,0.0267740752918563
test_recall,0.9333333333333333,0.03849001794597506
test_f1,0.9050369726872034,0.024148858249211272
test_roc_auc,0.9155897435897437,0.02986029760523612
