metric,repeated_mean,repeated_std
seed,2.0,1.5811388300841898
train_accuracy,0.9592857142857143,0.006487822187351784
train_precision,0.9545075465998274,0.005522162198950862
train_recall,0.9832402234636872,0.01310171999950676
train_f1,0.9686021010372471,0.0052181006425758535
train_roc_auc,0.9552519497759832,0.0036135281373293683
test_accuracy,0.8816901408450704,0.03535183210707362
test_precision,0.9086325792616264,0.02405456224813919
test_recall,0.9086956521739129,0.035721036359032586
test_f1,0.9085366993922394,0.028227674002740934
test_roc_auc,0.8645217391304347,0.0613032685689766
