model,fold,test_accuracy,test_macro_f1,test_f1_g,test_f1_b,test_recall_g,test_recall_b,test_precision_g,test_precision_b,test_roc_auc,fold_std,test_accuracy_std,test_macro_f1_std,test_f1_g_std,test_f1_b_std,test_recall_g_std,test_recall_b_std,test_precision_g_std,test_precision_b_std,test_roc_auc_std,model_label
AdaBoost,3.0,0.9458350100603623,0.9398901443265654,0.9587616684390878,0.9210186202140431,0.9822222222222223,0.8806153846153846,0.9365942028985508,0.9662424242424242,0.9611623931623932,1.5811388300841898,0.015761348230817922,0.0175335434818355,0.011983920494867668,0.023173614755386332,0.018592445034090552,0.029384212643232852,0.014134498672397881,0.03504529405562697,0.028260251754114504,AdaBoost iter4 (默认阈值)
DT,3.0,0.9030985915492957,0.8941211503851874,0.9247944902222602,0.8634478105481145,0.928888888888889,0.8572307692307692,0.9216794311898975,0.8727272727272727,0.9012752136752138,1.5811388300841898,0.03707474828224372,0.040633541423104685,0.02888558060143006,0.052790647621474014,0.03651483716701105,0.07237639943563282,0.03756662768815882,0.05749041166955851,0.038071230593126476,DT iter4 (剪枝+搜索)
LR,3.0,0.9457545271629779,0.9396139889032697,0.9588587662921464,0.920369211514393,0.9822222222222223,0.8803076923076922,0.9366982732038236,0.9648221343873518,0.9774290598290598,1.5811388300841898,0.027552391594134026,0.030771687572814836,0.020811717875624896,0.04074364822628691,0.01859244503409057,0.04961866417306624,0.025519988840517017,0.036505137988992346,0.01623943139860207,LR iter4 (poly2)
RF,3.0,0.9344466800804829,0.9280077063819737,0.9494844854994249,0.9065309272645228,0.9644444444444444,0.8809230769230769,0.9353768956914192,0.9351398601398602,0.9784683760683761,1.5811388300841898,0.02602014997499598,0.02796925002679392,0.020611993991717346,0.035434262345486515,0.03370166864022912,0.02835948439287263,0.014584244027822385,0.05783839900512639,0.012815255902284545,RF iter2 (默认)
SVM,3.0,0.9600402414486922,0.9563395312279208,0.9690316034722484,0.9436474589835935,0.9777777777777779,0.9283076923076923,0.960659322176436,0.9602564102564102,0.9822358974358976,1.5811388300841898,0.02125028562115732,0.022857322426687022,0.01679254234018754,0.02894433598520728,0.0272165526975909,0.01857656473615208,0.009896379121511208,0.04713827282883835,0.016916783773341326,SVM iter5 (RBF+balanced)
Stacking,3.0,0.9514688128772637,0.9464992739759047,0.9627749436164583,0.9302236043353511,0.9777777777777779,0.9043076923076923,0.9484458834412581,0.9585757575757576,0.9832957264957265,1.5811388300841898,0.02968178539626424,0.032666182816378286,0.022839665721128406,0.04255181540396655,0.0272165526975909,0.04608199535456325,0.023840497500890723,0.04904688448688262,0.012477499070410111,Stacking (5 models)
Stacking-3,3.0,0.9571830985915494,0.9530947636579716,0.9669342251950948,0.9392553021208483,0.9777777777777779,0.9203076923076923,0.9564168979340117,0.9593333333333334,0.9840068376068377,1.5811388300841898,0.026779996272385396,0.029093565684394442,0.02088489769592426,0.037309058293530636,0.0272165526975909,0.02883127821568608,0.01589884233558685,0.04899829929021348,0.012549625940928026,Stacking (top3)
Voting-Hard,3.0,0.94579476861167,0.9401230392010584,0.9585226741467976,0.9217234042553191,0.9777777777777779,0.8886153846153846,0.9402127659574468,0.958213438735178,,1.5811388300841898,0.025656724508786914,0.028173022575607498,0.01980308038079911,0.036612042113008704,0.0272165526975909,0.0342216928329829,0.01740769992558934,0.049055813516411195,,Voting-Hard (5 models)
Voting-Soft,3.0,0.9429778672032192,0.9369486968133319,0.9564188873305284,0.9174785062961355,0.9777777777777779,0.8809230769230769,0.9362234042553192,0.958213438735178,0.9822222222222223,1.5811388300841898,0.022684544017012444,0.024777064709890762,0.017620419948582013,0.03200526227359182,0.0272165526975909,0.02835948439287263,0.014516231512173718,0.049055813516411195,0.013698697784375519,Voting-Soft (5 models)
Voting-Soft-3,3.0,0.9543661971830986,0.9496866084226333,0.9650262780697563,0.9343469387755101,0.9822222222222223,0.9046153846153846,0.9484736355226643,0.9663043478260869,0.9841777777777778,1.5811388300841898,0.018719520026561,0.020617127370446683,0.01436590538094852,0.026877963381633858,0.01859244503409057,0.0225057520589659,0.011880930789860683,0.03497831416274545,0.01306999201828466,Voting-Soft (top3)
