model,seed,test_accuracy,test_macro_f1,test_f1_g,test_f1_b,test_recall_g,test_recall_b,test_precision_g,test_precision_b,test_roc_auc,seed_std,test_accuracy_std,test_macro_f1_std,test_f1_g_std,test_f1_b_std,test_recall_g_std,test_recall_b_std,test_precision_g_std,test_precision_b_std,test_roc_auc_std,model_label
AdaBoost,2.0,0.9352112676056338,0.9269667022915016,0.9514851172199545,0.9024482873630488,0.9782608695652174,0.8560000000000001,0.9263363004776378,0.9552653867871259,0.9620869565217391,1.5811388300841898,0.01605880880421319,0.01888160985556546,0.011503301498215617,0.02626360714710436,0.0,0.04560701700396552,0.021869505372518677,0.0022553981871078566,0.013674586974475553,AdaBoost iter4 (默认阈值)
DT,2.0,0.8816901408450704,0.8704567327416456,0.9085366993922394,0.8323767660910517,0.9086956521739131,0.8320000000000001,0.9086325792616264,0.8334814814814815,0.8645217391304347,1.5811388300841898,0.03535183210707361,0.03779406593843215,0.02822767400274093,0.047535728282056156,0.0357210363590326,0.04381780460041327,0.024054562248139198,0.056852515377959316,0.06130326856897662,DT iter4 (剪枝+搜索)
LR,2.0,0.9408450704225352,0.9330597684080691,0.9558743934303845,0.9102451433857539,0.9869565217391305,0.8560000000000001,0.9268401360544217,0.9726896292113683,0.9754782608695652,1.5811388300841898,0.02089069996364977,0.024034823421524094,0.015334324816686272,0.03276008041636207,0.011907012119677507,0.04560701700396549,0.022047804279835718,0.024973820311496718,0.017962363509169393,LR iter4 (poly2)
RF,2.0,0.9464788732394366,0.9404797037910386,0.9593675708473836,0.9215918367346939,0.9739130434782609,0.8960000000000001,0.945386216466235,0.9492463768115942,0.9802608695652173,1.5811388300841898,0.01542880443676526,0.01727647418476886,0.01162377078199207,0.02294810012138033,0.00972203468478168,0.0357770876399966,0.018386508443957696,0.0182747819098952,0.009950729281440336,RF iter2 (默认)
SVM,2.0,0.952112676056338,0.9462952243729964,0.9639331586329076,0.928657290113085,0.9826086956521738,0.8960000000000001,0.9463859993581151,0.9658095238095237,0.987304347826087,1.5811388300841898,0.02136021251845505,0.02491522454246694,0.015436563174946563,0.03440726407322759,0.00972203468478168,0.06066300355241234,0.029454502332204716,0.019331661902884576,0.00842177392195008,SVM iter5 (RBF+balanced)
Stacking,2.0,0.952112676056338,0.9461085551096436,0.9640704584040748,0.9281466518152127,0.9826086956521738,0.8960000000000001,0.9466521927920105,0.9647186147186148,0.9857391304347827,1.5811388300841898,0.0324249702344263,0.03699803978380115,0.02399395110585131,0.05003231143711434,0.009722034684781682,0.07797435475847168,0.038908532445244864,0.019887375920285073,0.008837965876363084,Stacking (5 models)
Stacking-3,2.0,0.9633802816901408,0.9591077071293785,0.9723151392551385,0.9459002750036184,0.9869565217391305,0.9199999999999999,0.9583188594586771,0.9742424242424242,0.9881739130434782,1.5811388300841898,0.025585777640260498,0.028811746119520625,0.019181270221998337,0.03845914829821343,0.011907012119677507,0.05656854249492381,0.02887456486537225,0.023564137901508728,0.008171137364058062,Stacking (top3)
Voting-Hard,2.0,0.943661971830986,0.9368458704578282,0.9575782657383515,0.916113475177305,0.9782608695652174,0.8800000000000001,0.9379991126885537,0.9564268774703557,,1.5811388300841898,0.017249927766078726,0.01985719647348875,0.012612360208120975,0.027105442160543603,0.0,0.048989794855663564,0.024455672893296455,0.002228492008379452,,Voting-Hard (5 models)
Voting-Soft,2.0,0.9408450704225352,0.9332552723100799,0.9557389279253782,0.9107716166947816,0.9782608695652174,0.8720000000000001,0.9348469387755103,0.9559064124281516,0.9834782608695652,1.5811388300841898,0.02709209022770614,0.031106169573991566,0.01989180841111903,0.04233290345266591,0.0,0.07694153624668536,0.03876023463879544,0.0034724589771815318,0.008973811930674005,Voting-Soft (5 models)
Voting-Soft-3,2.0,0.952112676056338,0.9461188053897217,0.9640728666209105,0.928164744158533,0.9869565217391305,0.8880000000000001,0.9424113475177306,0.9730848861283643,0.9883478260869566,1.5811388300841898,0.027455758717771735,0.03141243274645154,0.02026275818511582,0.04258287723074843,0.011907012119677507,0.05932958789676526,0.02923627953406375,0.024628110255425092,0.008101436312244914,Voting-Soft (top3)
