C,fold,accuracy,precision_b,recall_b,f1_b,precision_g,recall_g,f1_g,macro_f1,roc_auc
0.01,1,0.9154929577464789,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.9534883720930233,0.9111111111111111,0.9318181818181818,0.9103535353535352,0.9717948717948719
0.01,2,0.8571428571428571,0.8,0.8,0.8,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8444444444444444,0.8915555555555555
0.01,3,0.8571428571428571,0.8947368421052632,0.68,0.7727272727272727,0.8431372549019608,0.9555555555555556,0.8958333333333334,0.834280303030303,0.8568888888888889
0.01,4,0.9,0.9090909090909091,0.8,0.851063829787234,0.8958333333333334,0.9555555555555556,0.9247311827956989,0.8878975062914665,0.8888888888888888
0.01,5,0.7857142857142857,0.7272727272727273,0.64,0.6808510638297872,0.8125,0.8666666666666667,0.8387096774193549,0.759780370624571,0.8560000000000001
0.03,1,0.9295774647887324,0.92,0.8846153846153846,0.9019607843137255,0.9347826086956522,0.9555555555555556,0.945054945054945,0.9235078646843353,0.9786324786324786
0.03,2,0.8571428571428571,0.8,0.8,0.8,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8444444444444444,0.8862222222222222
0.03,3,0.8428571428571429,0.85,0.68,0.7555555555555555,0.84,0.9333333333333333,0.8842105263157894,0.8198830409356725,0.8675555555555556
0.03,4,0.9,0.875,0.84,0.8571428571428571,0.9130434782608695,0.9333333333333333,0.9230769230769231,0.8901098901098901,0.9048888888888889
0.03,5,0.8142857142857143,0.7727272727272727,0.68,0.723404255319149,0.8333333333333334,0.8888888888888888,0.8602150537634409,0.7918096545412949,0.8613333333333334
0.1,1,0.9295774647887324,0.92,0.8846153846153846,0.9019607843137255,0.9347826086956522,0.9555555555555556,0.945054945054945,0.9235078646843353,0.9820512820512821
0.1,2,0.8285714285714286,0.782608695652174,0.72,0.75,0.851063829787234,0.8888888888888888,0.8695652173913043,0.8097826086956521,0.8675555555555555
0.1,3,0.8428571428571429,0.85,0.68,0.7555555555555555,0.84,0.9333333333333333,0.8842105263157894,0.8198830409356725,0.8853333333333333
0.1,4,0.9,0.875,0.84,0.8571428571428571,0.9130434782608695,0.9333333333333333,0.9230769230769231,0.8901098901098901,0.9288888888888889
0.1,5,0.8142857142857143,0.75,0.72,0.7346938775510204,0.8478260869565217,0.8666666666666667,0.8571428571428571,0.7959183673469388,0.8666666666666667
0.3,1,0.9295774647887324,0.92,0.8846153846153846,0.9019607843137255,0.9347826086956522,0.9555555555555556,0.945054945054945,0.9235078646843353,0.982905982905983
0.3,2,0.8285714285714286,0.782608695652174,0.72,0.75,0.851063829787234,0.8888888888888888,0.8695652173913043,0.8097826086956521,0.8355555555555556
0.3,3,0.8428571428571429,0.85,0.68,0.7555555555555555,0.84,0.9333333333333333,0.8842105263157894,0.8198830409356725,0.896
0.3,4,0.9,0.875,0.84,0.8571428571428571,0.9130434782608695,0.9333333333333333,0.9230769230769231,0.8901098901098901,0.9422222222222222
0.3,5,0.8,0.7619047619047619,0.64,0.6956521739130435,0.8163265306122449,0.8888888888888888,0.851063829787234,0.7733580018501387,0.8675555555555555
1.0,1,0.9154929577464789,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.908974358974359,0.9820512820512821
1.0,2,0.8285714285714286,0.782608695652174,0.72,0.75,0.851063829787234,0.8888888888888888,0.8695652173913043,0.8097826086956521,0.7937777777777778
1.0,3,0.8857142857142857,0.9047619047619048,0.76,0.8260869565217391,0.8775510204081632,0.9555555555555556,0.9148936170212766,0.8704902867715079,0.9031111111111112
1.0,4,0.9142857142857143,0.88,0.88,0.88,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9066666666666667,0.9511111111111111
1.0,5,0.8428571428571429,0.85,0.68,0.7555555555555555,0.84,0.9333333333333333,0.8842105263157894,0.8198830409356725,0.8435555555555556
3.0,1,0.9154929577464789,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.9534883720930233,0.9111111111111111,0.9318181818181818,0.9103535353535352,0.9786324786324786
3.0,2,0.8428571428571429,0.8181818181818182,0.72,0.7659574468085106,0.8541666666666666,0.9111111111111111,0.8817204301075269,0.8238389384580187,0.7795555555555556
3.0,3,0.9,0.9090909090909091,0.8,0.851063829787234,0.8958333333333334,0.9555555555555556,0.9247311827956989,0.8878975062914665,0.9004444444444444
3.0,4,0.9142857142857143,0.88,0.88,0.88,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9066666666666667,0.9502222222222222
3.0,5,0.8142857142857143,0.8,0.64,0.7111111111111111,0.82,0.9111111111111111,0.8631578947368421,0.7871345029239767,0.8053333333333333
10.0,1,0.9154929577464789,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.9534883720930233,0.9111111111111111,0.9318181818181818,0.9103535353535352,0.9709401709401709
10.0,2,0.8285714285714286,0.782608695652174,0.72,0.75,0.851063829787234,0.8888888888888888,0.8695652173913043,0.8097826086956521,0.7822222222222223
10.0,3,0.8857142857142857,0.8695652173913043,0.8,0.8333333333333334,0.8936170212765957,0.9333333333333333,0.9130434782608695,0.8731884057971014,0.8986666666666666
10.0,4,0.9142857142857143,0.88,0.88,0.88,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9066666666666667,0.9493333333333334
10.0,5,0.8285714285714286,0.8421052631578947,0.64,0.7272727272727273,0.8235294117647058,0.9333333333333333,0.875,0.8011363636363636,0.7466666666666666
