penalty,C,l1_ratio,mean_macro_f1,std_macro_f1,mean_recall_b,mean_accuracy,n_nonzero_coefs,n_total_coefs,sparsity
elasticnet,3.0,0.2,0.9362805063651976,0.028672262485206126,0.8723076923076922,0.9428973843058351,560,594,0.9428
elasticnet,0.3,0.8,0.9360006974230858,0.018012804207975897,0.8572307692307692,0.9430181086519115,100,594,0.1684
elasticnet,3.0,0.5,0.9328686913392857,0.03130898069456531,0.8643076923076922,0.9400402414486922,480,594,0.8081
elasticnet,1.0,0.2,0.9328686913392857,0.03130898069456531,0.8643076923076922,0.9400402414486922,470,594,0.7912
elasticnet,0.3,0.5,0.9299310817377913,0.022028173653095933,0.8572307692307692,0.9373038229376258,146,594,0.2458
l1,1.0,,0.9297596637629442,0.026652576183315648,0.8569230769230769,0.9372635814889335,180,594,0.303
elasticnet,3.0,0.8,0.9294568763133739,0.03339348656104497,0.8563076923076922,0.9371830985915492,410,594,0.6902
l1,0.3,,0.9292760791123662,0.02224863704920813,0.8415384615384616,0.937344064386318,68,594,0.1145
elasticnet,0.1,0.2,0.9265192667118793,0.024496284328519982,0.8492307692307692,0.9344466800804829,160,594,0.2694
elasticnet,1.0,0.8,0.9264365117596679,0.02844964777643576,0.8489230769230769,0.9344064386317907,223,594,0.3754
l1,3.0,,0.9263426486825221,0.02845750302264637,0.8486153846153845,0.9343661971830987,367,594,0.6178
elasticnet,0.1,0.5,0.9259075940428902,0.017319951490164392,0.8335384615384616,0.934486921529175,71,594,0.1195
elasticnet,0.3,0.2,0.9231683062947956,0.0240518005661331,0.8409230769230769,0.9315492957746478,290,594,0.4882
elasticnet,1.0,0.5,0.9231683062947956,0.0240518005661331,0.8409230769230769,0.9315492957746478,307,594,0.5168
elasticnet,0.03,0.2,0.9158201103310741,0.012778230604650366,0.8095384615384615,0.9259154929577464,90,594,0.1515
elasticnet,0.1,0.8,0.9153862613426735,0.019671148952103513,0.8015384615384615,0.9259154929577464,48,594,0.0808
l1,0.1,,0.9085709411658826,0.016912162699618736,0.7858461538461539,0.920241448692153,35,594,0.0589
elasticnet,0.03,0.5,0.901286334700466,0.028916349501846832,0.769846153846154,0.9145271629778673,31,594,0.0522
elasticnet,0.01,0.2,0.8908956623724092,0.02287359978808238,0.7464615384615383,0.9060362173038229,53,594,0.0892
elasticnet,0.03,0.8,0.8725605930974905,0.028584852815163653,0.7064615384615384,0.8917505030181087,11,594,0.0185
l1,0.03,,0.8646291907973171,0.03492773615543251,0.6901538461538462,0.8859959758551307,6,594,0.0101
elasticnet,0.01,0.5,0.7582609207144939,0.029666511295363247,0.4769230769230769,0.8120724346076459,8,594,0.0135
elasticnet,0.003,0.5,0.39062968515742125,0.0013493253373313416,0.0,0.641046277665996,0,594,0.0
l1,0.003,,0.39062968515742125,0.0013493253373313416,0.0,0.641046277665996,0,594,0.0
l1,0.01,,0.39062968515742125,0.0013493253373313416,0.0,0.641046277665996,2,594,0.0034
elasticnet,0.003,0.8,0.39062968515742125,0.0013493253373313416,0.0,0.641046277665996,0,594,0.0
elasticnet,0.001,0.8,0.39062968515742125,0.0013493253373313416,0.0,0.641046277665996,0,594,0.0
elasticnet,0.003,0.2,0.39062968515742125,0.0013493253373313416,0.0,0.641046277665996,10,594,0.0168
elasticnet,0.001,0.5,0.39062968515742125,0.0013493253373313416,0.0,0.641046277665996,0,594,0.0
elasticnet,0.001,0.2,0.39062968515742125,0.0013493253373313416,0.0,0.641046277665996,0,594,0.0
l1,0.001,,0.39062968515742125,0.0013493253373313416,0.0,0.641046277665996,0,594,0.0
elasticnet,0.01,0.8,0.39062968515742125,0.0013493253373313416,0.0,0.641046277665996,2,594,0.0034
