metric,repeated_mean,repeated_std
seed,2.0,1.5811388300841898
train_accuracy,0.9521428571428572,0.004072055089639818
train_precision,0.9560040070234483,0.007323354042887344
train_recall,0.9698324022346367,0.0030599025558947493
train_f1,0.9628493842278436,0.0030024423821740477
train_roc_auc,0.9895680070800374,0.0017702686629087218
test_accuracy,0.8985915492957746,0.028864650044956624
test_precision,0.8966150096402197,0.04744792576631065
test_recall,0.9565217391304348,0.01537188654753363
test_f1,0.9248278772532708,0.019847977066245626
test_roc_auc,0.9361739130434783,0.03198298224242219
