metric,cv_mean,cv_std
seed,42.0,0.0
train_accuracy,0.9814844941535332,0.006837436653088222
train_precision,0.9740234060653439,0.008690768775476256
train_recall,0.9977777777777778,0.003042903097250912
train_f1,0.9857442110795315,0.005224027655850683
train_roc_auc,0.999548294829483,0.00020310903043220676
test_accuracy,0.9458350100603623,0.023548727078818915
test_precision,0.9328014184397164,0.017553975016540983
test_recall,0.9866666666666667,0.019876159799998114
test_f1,0.9589527816736793,0.017840966094532597
test_roc_auc,0.9749743589743589,0.015720325805667512
