rank_test_macro_f1,param_n_estimators,param_criterion,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,param_bootstrap,param_max_samples,param_max_leaf_nodes,param_min_impurity_decrease,param_ccp_alpha,param_class_weight,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_g,std_test_f1_g,mean_test_f1_b,std_test_f1_b,mean_test_recall_b,std_test_recall_b,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_train_macro_f1,std_train_macro_f1
1,300,log_loss,,8,4,0.3,True,1.0,16,0.0,0.001,,0.9396659985948365,0.023471105075876277,0.9589527816736793,0.01595744518865753,0.9203792155159938,0.03099607250296756,0.8729230769230769,0.0302353686068634,0.9458350100603623,0.021062621812731656,0.9749743589743589,0.014060686851966684,0.9796683315678655,0.006759368805848886
1,200,entropy,10,4,2,0.3,True,1.0,32,0.01,0.01,,0.9396659985948365,0.023471105075876277,0.9589527816736793,0.01595744518865753,0.9203792155159938,0.03099607250296756,0.8729230769230769,0.0302353686068634,0.9458350100603623,0.021062621812731656,0.9732102564102565,0.015693545563152965,0.996123951567974,0.0024546998202382734
3,100,log_loss,16,20,2,0.5,True,,32,0.005,0.001,,0.9336630838088249,0.03357107899906342,0.9544118529556147,0.023457141053117216,0.9129143146620349,0.04370070851151469,0.8732307692307693,0.04586163909879805,0.9401609657947686,0.03052270776631453,0.972505982905983,0.014838463876937899,0.9662856077623188,0.003936697111822698
4,500,entropy,10,4,4,sqrt,True,0.6,32,0.01,0.001,balanced_subsample,0.9335368817874201,0.025570206668011648,0.9544056180557627,0.017481301696566327,0.9126681455190772,0.033787459759852874,0.8729230769230769,0.03942305816134637,0.9401207243460764,0.022948777690754825,0.9726495726495725,0.016327827165663715,0.967322175752604,0.005275905315949333
5,100,log_loss,10,2,2,,True,0.8,64,0.005,0.01,,0.9332583659549858,0.03392582256917869,0.9546893737696758,0.023230378600055782,0.9118273581402958,0.0446866898025275,0.8652307692307692,0.053767855160129906,0.9401609657947686,0.03052270776631453,0.9681777777777778,0.01736088977636685,0.987520636990574,0.006729900375062133
6,200,log_loss,6,4,1,0.5,True,0.6,32,0.01,0.001,,0.9330137865178598,0.025767140517805237,0.9548804870042673,0.01716184271192697,0.9111470860314522,0.03440589543832787,0.8572307692307692,0.04038161160990257,0.9401609657947686,0.0228795197519903,0.9721641025641026,0.013705068266667793,0.9685458112156731,0.0071018729079234955
7,200,log_loss,3,20,4,sqrt,False,,16,0.001,0.005,balanced,0.9327566639450113,0.031853068731723104,0.9549686277404591,0.020480741276907428,0.9105447001495633,0.04328987989764967,0.8569230769230769,0.0546965810296344,0.9401207243460765,0.027776687287784325,0.9635965811965812,0.015989760767814373,0.9493045293987178,0.005164992595883439
8,500,log_loss,,12,2,sqrt,False,,,0.001,0.01,balanced,0.9313090381977991,0.0313926932156119,0.9514286087918625,0.023701664019766564,0.9111894676037355,0.039217820084219986,0.8886153846153846,0.03060881259186683,0.9372635814889335,0.029499040556651673,0.9785230769230768,0.014323054787950013,0.9969186238863165,0.0028801789731469634
9,100,gini,4,4,1,0.3,True,0.8,32,0.001,0.01,balanced_subsample,0.9310535343041506,0.035116012581000694,0.9516377319374625,0.024937483948023427,0.9104693366708385,0.04534479235811233,0.8886153846153846,0.04708396126372573,0.9372233400402414,0.0321576766232843,0.9689435897435897,0.016460970071219595,0.9538295331375555,0.010807043137856387
10,200,gini,,4,2,0.3,True,,64,0.0,0.001,balanced_subsample,0.9308937198067634,0.036419755271863155,0.9517874396135266,0.025953136818935296,0.9099999999999999,0.046916000587338136,0.8806153846153846,0.036479385440686636,0.9372233400402414,0.03340282651017649,0.9725128205128206,0.015570898791691355,0.9984509585038795,0.001897180627946304
