metric,repeated_mean,repeated_std
seed,2.0,1.5811388300841898
train_accuracy,0.9814285714285715,0.002988071523336013
train_precision,0.975942906720916,0.006029957670925658
train_recall,0.9955307262569832,0.002498399974860122
train_f1,0.9856259911490165,0.002263148374764326
train_roc_auc,0.9995574976492062,0.00015644820646864015
test_accuracy,0.932394366197183,0.027092090227706124
test_precision,0.929804366705054,0.03020220022284448
test_recall,0.9695652173913045,0.019444069369563374
test_f1,0.9490614563848372,0.020318807270907603
test_roc_auc,0.9704347826086958,0.012556112241907499
