metric,cv_mean,cv_std
seed,42.0,0.0
train_accuracy,0.970081342145399,0.005430780502347974
train_precision,0.9684112872673101,0.008744412557849994
train_recall,0.9855555555555556,0.003042903097250973
train_f1,0.9768863722412913,0.004094452273559388
train_roc_auc,0.9900146314631464,0.0035146473735218633
test_accuracy,0.9401207243460764,0.027574423170777972
test_precision,0.9291799259944495,0.029013615605693065
test_recall,0.9822222222222223,0.018592445034090556
test_f1,0.9547790557416305,0.020169188334796227
test_roc_auc,0.9810188034188034,0.01499530985676331
