metric,repeated_mean,repeated_std
seed,2.0,1.5811388300841898
train_accuracy,0.9792857142857143,0.0015971914124998442
train_precision,0.9832829795437293,0.003818603951988247
train_recall,0.9843575418994414,0.004674078360525563
train_f1,0.9838064542149534,0.0012684444174439345
train_roc_auc,0.9960174788428564,0.001878600331626934
test_accuracy,0.952112676056338,0.02136021251845507
test_precision,0.9463859993581151,0.02945450233220473
test_recall,0.982608695652174,0.009722034684781689
test_f1,0.9639331586329076,0.015436563174946578
test_roc_auc,0.987304347826087,0.008421773921950067
