metric,repeated_mean,repeated_std
seed,2.0,1.5811388300841898
selected_threshold,0.15074440385126073,0.15856505829463288
threshold_train_macro_f1,0.9532212517784677,0.005011856877511583
threshold_default_macro_f1,0.9424413154618744,0.008263059196554194
train_accuracy,0.9814285714285715,0.002988071523336013
train_macro_f1,0.9799185464621226,0.0032163031936871967
train_b_recall,0.9801980198019802,0.007001057239470774
train_b_f1,0.9744124927377023,0.004075194368948538
train_g_recall,0.982122905027933,0.00467407836052555
train_g_f1,0.9854246001865427,0.002360066664824606
train_roc_auc,0.9960174788428564,0.001878600331626934
test_accuracy,0.9661971830985916,0.01259756607042139
test_macro_f1,0.9629399716875998,0.013892639161468004
test_b_recall,0.952,0.033466401061363
test_b_f1,0.9519715578539107,0.01816047017417482
test_g_recall,0.9739130434782609,0.018188261446392934
test_g_f1,0.9739083855212888,0.009664062916204953
test_roc_auc,0.987304347826087,0.008421773921950067
